ORIGINE_CODE;ORIGINE_NAME;X_START;Y_START;DESTINATION_CODE;DESTINATION_NAME;FORMATION;DEP_CODE;X_END;Y_END;FLUX
24238;LEMPZOURS;0.823616387;45.35473589;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24240;LIMEUIL;0.896277699;44.89715482;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24240;SAINTE ALVERE;0.896277699;44.89715482;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24241;LIMEYRAT;0.977846297;45.16540874;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24242;LIORAC SUR LOUYRE;0.641161772;44.89578851;24138;COULOUNIEIX CHAMIERS;FCR-MICRO PRIX;24;0.687341021;45.16475489;1
24243;LISLE;0.556639396;45.27132588;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24243;LISLE;0.556639396;45.27132588;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24246;LUNAS;0.398588679;44.9246381;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24251;MANZAC SUR VERN;0.590558352;45.08424005;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24251;MANZAC SUR VERN;0.590558352;45.08424005;24138;COULOUNIEIX CHAMIERS;FCR-PACK PREMIUM;24;0.687341021;45.16475489;1
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCD24-E COMMERCE;24;0.687341021;45.16475489;1
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK PERFECTIONNEMENT;24;0.687341021;45.16475489;1
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM INTERMEDIAIRE;24;0.687341021;45.16475489;1
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-MICRO PRIX;24;0.687341021;45.16475489;1
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24253;MAREUIL;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-REFERENCER SANS SITE;24;0.687341021;45.16475489;1
24253;MAREUIL EN PERIGORD;0.507142374;45.44856954;17300;LA ROCHELLE;FCR-PACK MICRO;24;-1.176028384;46.16222566;1
24253;MAREUIL EN PERIGORD;0.507142374;45.44856954;24053;BOULAZAC ISLE MANOIRE;CAP ELECTRICIEN;24;0.781873873;45.14219498;1
24253;MAREUIL EN PERIGORD;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;3
